area(m²),rent(EGP),location_en
194,80000,Alexandria / El Sultan Hussein St.
62,80000,Alexandria / El Sultan Hussein St.
60,19000,Alexandria / El-Gaish Rd
560,325000,Alexandria / El-Gaish Rd
80,6000,Alexandria / El-Malaha St
340,50000,Alexandria / El-Malek St
170,20000,Alexandria / El-Shaikh Hussein Soliman 18 St.
100,100000,Alexandria / El-Shohada St.
50,3500,Alexandria / El-Zahraa City St
70,3000,Alexandria / Ezbet Mohsen St.
240,100000,Alexandria / Gamal Abd El Nasir St
55,10000,Alexandria / Gamal Abd El Nasir St
160,15000,Alexandria / Gamal Abd El Nasir St
55,15000,Alexandria / Gamal Abd El Nasir St
100,25000,Alexandria / Gamal Abd El Nasir St
130,14000,Alexandria / Gamal Abd El Nasir St
300,25000,Alexandria / Gamal Abd El Nasir St
135,15000,Alexandria / Gamal Abd El Nasir St
100,13000,Alexandria / Gamal Abd El Nasir St
80,9500,Alexandria / Gamal Abd El Nasir St
100,12000,Alexandria / Gamal Abd El Nasir St
600,300000,Alexandria / Gamal Abd El Nasir St
50,10000,Alexandria / Gamal Abd El Nasir St
150,20000,Alexandria / Gamal Abd El Nasir St
180,35000,Alexandria / Gamal Abd El Nasir St
150,17000,Alexandria / Gamal Abdel Nasser St.
60,25000,Alexandria / Gamal Abdel Nasser St.
100,25000,Alexandria / Gamal Abdel Nasser St.
120,12000,Alexandria / Gamal Abdel Nasser St.
120,10000,Alexandria / Gamal Abdel Nasser St.
120,15000,Alexandria / Gamal Abdel Nasser St.
250,85000,Alexandria / Gamal Abdel Nasser St.
240,100000,Alexandria / Gamal Abdel Nasser St.
240,90000,Alexandria / Gamal Abdel Nasser St.
80,12000,Alexandria / Gamal Abdel Nasser St.
65,10500,Alexandria / Gamal Abdel Nasser St.
100,10000,Alexandria / Gamal Abdel Nasser St.
88,50000,Alexandria / Gamila Abu Herid St.
180,22000,Alexandria / Ganaklis
140,50000,Alexandria / Ganaklis
50,5000,Alexandria / Ibrahim Othman St.
55,5000,Alexandria / Ibrahim Othman St.
110,25000,Alexandria / Ibrahimia
120,70000,Alexandria / Iskandar Ibrahim St.
200,50000,Alexandria / Khaled Ibn El Waleed St.
150,30000,Alexandria / Khaled Ibn El Waleed St.
148,45000,Alexandria / Khaled Ibn El Waleed St.
90,14000,Alexandria / Khaled Ibn El Waleed St.
148,45000,Alexandria / Khaled Ibn El Walid St.
80,13000,Alexandria / Khaled Ibn El Walid St.
148,65000,Alexandria / Khaled Ibn El Walid St.
160,60000,Alexandria / Khaled Ibn El Walid St.
600,100000,Alexandria / Khaled Ibn El Walid St.
90,15000,Alexandria / Khalil Hamada St.
140,135000,Alexandria / Kornesh El-Maamoura St
125,20000,Alexandria / La Jetee St.
65,20000,Alexandria / La Jetee St.
100,15000,Alexandria / La Jetee St.
220,17000,Alexandria / Mahmoud El Isawy St.
75,15000,Alexandria / Mahmoud El Isawy St.
100,35000,Alexandria / Mahmoud El Isawy St.
80,14000,Alexandria / Mahmoud El Isawy St.
140,40000,Alexandria / Mahmoud El Isawy St.
100,40000,Alexandria / Mahmoud El Isawy St.
60,9500,Alexandria / Mahmoud El Isawy St.
220,15000,Alexandria / Mahmoud El Isawy St.
100,38000,Alexandria / Mahmoud El Isawy St.
75,14000,Alexandria / Mahmoud El Isawy St.
80,15000,Alexandria / Mahmoud El Isawy St.
58,20000,Alexandria / Mahmoud El Isawy St.
100,15000,Alexandria / Mahmoud El Isawy St.
95,75000,Alexandria / Mahmoud El Isawy St.
150,11000,Alexandria / Mahmoud El Isawy St.
60,15000,Alexandria / Mahmoud El Isawy St.
55,35000,Alexandria / Mahmoud El Isawy St.
100,13000,Alexandria / Mahmoud El Isawy St.
100,15000,Alexandria / Mahmoud El-Isawy St.
220,18000,Alexandria / Mahmoud El-Isawy St.
65,20000,Alexandria / Malak Hefni St.
140,20000,Alexandria / Malak Hefni St.
180,18000,Alexandria / Malak Hefni St.
230,13000,Alexandria / Malak Hefni St.
60,25000,Alexandria / Malak Hefni St.
1800,155000,Alexandria / Margham
900,55000,Alexandria / Margham
1200,75000,Alexandria / Margham
750,45000,Alexandria / Margham
200,35000,Alexandria / Margham
550,45000,Alexandria / Margham
380,35000,Alexandria / Margham
1200,215000,Alexandria / Margham
600,45000,Alexandria / Margham
80,5000,Alexandria / Masaken Abd El Qader El Gadida
80,20000,Alexandria / Mohammed Al Eqbal St.
85,120000,Alexandria / Mohammed Darwish El-Deeb St.
250,250000,Alexandria / Mohammed Fawzi Moaz St.
80,12000,Alexandria / Mohammed Naguib St.
55,30000,Alexandria / Mohammed Naguib St.
80,10000,Alexandria / Mohammed Naguib St.
70,10000,Alexandria / Mohammed Naguib St.
110,15000,Alexandria / Mortada Basha St
700,95000,Alexandria / Mostafa Fahmy St
95,10000,Alexandria / Mostafa Kamel St.
150,15000,Alexandria / New El Hadra
150,12000,Alexandria / New El Hadra
80,8000,Alexandria / Ragheb Pasha St.
80,6500,Alexandria / Ragheb Pasha St.
310,210000,Alexandria / Riad St
60,25000,Alexandria / Roushdy Basha St.
100,100000,Alexandria / Saad Zaghloul St.
183,45000,Alexandria / Salah Salem St.
194,80000,Alexandria / Salah Salem St.
200,25000,Alexandria / Salman El Faresi St.
100,15000,Alexandria / Salman El-Farsi St
300,27000,Alexandria / San Stefano
93,9000,Alexandria / Schutz
240,16000,Alexandria / Sebaweh St.
100,30000,Alexandria / Shamaa
180,20000,Alexandria / Shamaa
50,5000,Alexandria / Shamaa
450,35000,Alexandria / Shatee El Nakheel
80,11000,Alexandria / Sidi Beshr Bahri
120,70000,Alexandria / Sidi Beshr Bahri
100,13000,Alexandria / Sidi Beshr Bahri
135,15000,Alexandria / Sidi Beshr Bahri
170,20000,Alexandria / Sidi Beshr Bahri
55,23000,Alexandria / Sidi Beshr Bahri
50,15000,Alexandria / Sidi Beshr Bahri
70,40000,Alexandria / Sidi Beshr Bahri
70,12000,Alexandria / Sidi Beshr Qebli
60,7000,Alexandria / Sidi Beshr Qebli
120,6000,Alexandria / Sidi Beshr Qebli
70,40000,Alexandria / Sidi Bishr
80,11000,Alexandria / Street 16
75,3500,Alexandria / Street 16 El Eslah
440,120000,Alexandria / Street 45
50,17000,Alexandria / Street 45
160,20000,Alexandria / Street 45
240,100000,Alexandria / Street 45
80,24000,Alexandria / Street 45
100,45000,Alexandria / Sutar St.
65,25000,Alexandria / Tout Ankh Amoun St.
60,26000,Alexandria / Victoria
50,20000,Alexandria / Victoria
60,25000,Alexandria / Victoria
100,25000,Alexandria / Victoria
55,25000,Alexandria / Victoria
,,
Total Records,=COUNTA(B2:B223),
Avg Rent (EGP),=AVERAGE(B2:B223),
Avg Area (m²),=AVERAGE(A2:A223),
Scraped At,2026-05-27,
